Linux 6.8.0-45-lowlatency (ntb-hp) 	25/09/2024 	_x86_64_	(16 CPU)

10:24:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:50:07      15    1,00    0,00    2,00    2,00    0,00    0,00    0,00    0,00    0,00   95,00

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    2,84    0,00    2,15    0,25    0,00    0,06    0,00    0,00    0,00   94,70
Average:       0    2,04    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   94,90
Average:       1    2,04    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,96
Average:       2    3,00    0,00    2,00    0,00    0,00    1,00    0,00    0,00    0,00   94,00
Average:       3    3,03    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   95,96
Average:       4    5,05    0,00    4,04    0,00    0,00    0,00    0,00    0,00    0,00   90,91
Average:       5    2,02    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   97,98
Average:       6    3,03    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   93,94
Average:       7    4,08    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   94,90
Average:       8    6,06    0,00    3,03    0,00    0,00    0,00    0,00    0,00    0,00   90,91
Average:       9    3,00    0,00    3,00    1,00    0,00    0,00    0,00    0,00    0,00   93,00
Average:      10    4,04    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   93,94
Average:      11    4,00    0,00    8,00    0,00    0,00    0,00    0,00    0,00    0,00   88,00
Average:      12    0,00    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   98,98
Average:      13    1,98    0,00    0,99    0,99    0,00    0,00    0,00    0,00    0,00   96,04
Average:      14    1,02    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,98
Average:      15    1,00    0,00    2,00    2,00    0,00    0,00    0,00    0,00    0,00   95,00
Linux 6.8.0-45-lowlatency (ntb-hp) 	25/09/2024 	_x86_64_	(16 CPU)

10:55:07     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:55:08     all    3,28    0,00    1,64    0,13    0,00    0,00    0,00    0,00    0,00   94,95
10:55:08       0   10,20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   89,80
10:55:08       1    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
10:55:08       2    4,04    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   93,94
10:55:08       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
10:55:08       4    4,08    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   92,86
10:55:08       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
10:55:08       6    6,12    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   90,82
10:55:08       7    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
10:55:08       8    8,16    0,00    4,08    0,00    0,00    0,00    0,00    0,00    0,00   87,76
10:55:08       9    3,06    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   94,90
10:55:08      10    4,04    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   93,94
10:55:08      11    2,97    0,00    2,97    0,00    0,00    0,00    0,00    0,00    0,00   94,06
10:55:08      12    2,02    0,00    2,02    1,01    0,00    0,00    0,00    0,00    0,00   94,95
10:55:08      13    2,02    0,00    2,02    1,01    0,00    0,00    0,00    0,00    0,00   94,95
10:55:08      14    4,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   95,00
10:55:08      15    2,02    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,97

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    3,28    0,00    1,64    0,13    0,00    0,00    0,00    0,00    0,00   94,95
Average:       0   10,20    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   89,80
Average:       1    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
Average:       2    4,04    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   93,94
Average:       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
Average:       4    4,08    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   92,86
